Object Number,Title,Provenance
1949.61,Cradleboard,1949
1971.665,Kumbaruba mask,1971
1956.156,Parka,1956
1932.237,Shield,1944
1948.229,Four-faced Hamat'sa Mask,1950
2012.315,"O'Keeffe, After Whistler",2012
2001.177,Malagan figures,2012
1996.26,House Post,2012
2005.64,Coyote #1,2012
1951.228,Transformation Mask,1951
1940.26,Shirt,1940
1950.15,Condor Cape,1950
1941.359,Jar,1941
1953.388,Drum,1953
1941.287,First phase chief blanket,1941
1935.533,Jar,1935
1946.251,Totem pole,1946
1935.529,Bowl,1935
1935.394,Third phase chief blanket,1935
1985.261.1,Backrest,1985
1988.322,Bow case and quiver,1988
1985.239,Saddle cloth,1985
1935.39,Blanket,1935
1985.261.2,Backrest,1985
1985.136,Belt,1985
1999.26,Water Turkey Pin,1999
1985.138,Belt pendant,1985
1934.143,Jar,1934
1935.378,Sash,1935
1934.86,Blanket,1934
1933.176,Jar,1933
1968.33,Shield cover,1968
1933.128,Canteen,1933
1934.144,Jar,1934
1958.194,Painting,1958
1954.226,Concho belt,1954
1958.193,Two War Exploit Scenes,1958
1970.392,Pair of moccasins,1970
1958.195,Painting,1958
1955.184.1,Parfleche,1955
1959.138,Tipi lining,1959
1959.139,Tipi pillow cover,1959
1955.184.2,Parfleche,1955
1955.185,Pouch,1955
1964.146,Pipe bag,1964
1985.58,Bandolier bag,1985
1978.183,Dress,1978
1985.44,Dress,1985
1985.109,cradle,1985
1985.56,Doll and cradle,1985
1985.161,Pair of moccasins,1985
1999.247,Gun case,1999
1933.129,Bowl,1933
1933.121,Pillow cover,1933
1953.153,Shirt,1953
1955.129,Bag,1955
1955.128,Bag,1955
1954.17,Pair of moccasins,1954
1954.169,Pair of moccasins,1954
1935.29,Pair of leggings,1935
1953.155,Girl's Dress,1953
1953.158,Pair of boots,1953
1952.22,Saddle blanket,1952
1953.164,Cradleboard,1953
1953.246,Pair of armbands,1953
1954.168,Pipe bag,1953
1953.229,Brush,1953
1953.16,Miniature pair of moccasins,1953
1952.311,"Hair plates, mounted set of 20",1952
1936.78,Shirt neck piece,1936
1941.19,Girl's cradle cap,1941
1949.58,Pair of boots,1949
1949.6,Dance staff,1949
1950.57,Pipe bag,1950
1950.58,Pipe bag,1950
1950.61,Pair of leggings,1950
1951.105,Dress,1951
1952.215,Pair of moccasins,1952
1952.218,Pipe bag,1952
1948.263,Pipe,1948
1948.184,Pair of armbands,1948
1948.181,Buckle,1948
1948.95,Vest,1948
1939.3,Saddle blanket,1939
1940.18,Pair of leggings,1940
2017.35,Watchman #1 (Leviathan Series),2017
2003.1318,Jar,2003
1948.94,Pipe bag,1948
2003.1292,painting,2003
2018.32,"Untitled (Quiet Strength Series, II)",2018
1946.67,Pipe bag,1946
1941.18,Pouch,1941
2013.243,Tahu,2013
2015.71,Coyote on Skateboard III,2015
1936.75,Pair of leggings,1936
1932.161,Lightning Dance from the Fire Dance,1932
1932.239,Pueblo Indian and Child,1932
1935.3,Toy cradleboard,1935
1932.156,Father Sky and Mother Earth,1932
1932.159,Fire Dance,1932
1932.167,Six Kneeling Women Basket Dancers,1932
1932.171,Fantastic Bird,1932
1932.146,Three Buffalo Dancers,1932
1932.187,Man Dancer,1932
1932.188,Mountain Sheep Dancer,1932
1932.162,Prayer for New Born,1932
1932.158,Feather Dance,1932
1932.155,Cloud Gods,1932
1932.163,San Ildefonso Buffalo Dance,1932
1932.166,Navaho Yahe Becha Dance,1932
1932.165,Mountain Chant,1932
1958.192,Buffalo Hunting Scene,1958
2001.636,M'Bukus No Bokam Sempremente (The One Legged Don't Always Speak),1958
1932.95,Pair of moccasins,1932
1932.147,Two Buffalo Dancers,1932
1932.93,Pair of moccasins,1932
1945.299,Jar,1945
1954.536,Jar,1954
1954.504,Jar,1954
1954.537,Jar,1954
1932.228,Man Carrying Kachina Doll,1932
1932.226,Kosaries,1932
1932.336,Vest,1932
1932.365,Tile set,1932
1932.232,Man and Buffalo,1932
1932.235,Corn Dance,1932
1932.212,Pair of Eagle Dancers,1932
1932.225,Blanket Dance,1932
1932.22,Buffalo Dance,1932
1932.219,Snake Dance,1932
1932.214,Pair of Skunks Beneath a Rainbow,1932
1932.213,Shalako and Mud-Heads,1932
1932.238,Deer Dancer,1932
1932.218,Serpent Dance at Hopi,1932
1932.231,Corn Dancers,1932
1932.241,Three Running Antelope,1932
1932.211,Pair of Antelope Beneath a Rainbow,1932
1932.24,The Buffalo Dance at Zie,1932
1932.224,Hopi Buffalo Dance,1932
1932.227,Koshare and Corn Dance Banner Bearer,1932
1932.222,Indian Girl with Water Jar,1932
1932.229,Woman Carrying Kachina Doll,1932
1932.209,Eagle on Tree Stump,1932
1932.203,Bear with Deer,1932
1932.204,Bear by Pine Trees,1932
1932.205,Brown Turkey,1932
1932.208,Four Men with Sun Shields,1932
1954.47,Jar,1954
1932.19,Pair of Dancers,1932
1932.342,Jar,1932
1954.471,Jar,1954
1948.315,Headdress,1948
1954.468,Jar,1954
1954.469,Jar,1954
1954.464,Jar,1954
1948.486,Jar,1948
1948.483,Jar,1948
1954.463,Jar,1954
1954.461,Jar,1954
1950.22,Bowl,1950
1948.56,Jar,1948
1948.561,Jar,1948
1947.331,Jar,1947
1946.388,Lidded container,1946
1941.42,Cradle,1941
1927.45,Dress,1927
1948.144,Robe,1948
1946.361,Jar,1946
1946.36,Jar,1946
1937.364,Meal box,1937
1938.441,Jar,1938
1935.418,Bowl,1935
1941.33,Bowl,1941
1931.78,Pair of moccasins,1931
1935.412,Jar,1935
1929.115,Jar,1929
1935.416,Bowl,1935
1935.415,Bowl,1935
1935.417,Bowl,1935
1929.79,Bowl,1929
1935.414,Bowl,1935
1948.156,Pipe Bag,1948
1932.136,Untitled,1932
1932.138,Butterfly Dance,1932
1932.144,Single Standing Koshare,1932
1932.142,Antelope Dance,1932
1932.14,Snow Bird Dance,1932
1932.141,Sun Dance,1932
